,Open,High,Low,Close,Volume,Dividends,Stock Splits,Sentiment,transformer_sentiment
2021-03-31,17.527552630139105,17.60233678337457,17.44342023487485,17.499507904052734,8991400,0.0,0.0,0,0
2021-04-01,17.68646887874531,17.798645998193848,17.639729452388732,17.770601272583008,4213100,0.0,0.0,0,0
2021-04-05,18.004303074125538,18.125826659899644,17.90147419024326,18.107131958007812,3919100,0.0,0.0,0,0
2021-04-06,18.069734249022083,18.144518385960318,18.05103776903891,18.079082489013672,4428600,0.0,0.0,0,0
2021-04-07,18.069734778413707,18.069734778413707,17.910818259889854,17.957557678222656,4643600,0.0,0.0,0,0
2021-04-08,18.116474316684428,18.135170797339136,17.95755779710849,18.060386657714844,3862300,0.0,0.0,0,0
2021-04-09,18.088431614156562,18.284739314602746,18.07908337370752,18.26604461669922,5214200,0.0,0.0,0,0
2021-04-12,17.88277480265791,17.96690718799721,17.76125123660928,17.873428344726562,8059200,0.0,0.0,-1,0
2021-04-13,17.555596510650044,17.6584236020243,17.200370462645107,17.209718704223633,11356300,0.0,0.0,-1,0
2021-04-14,16.359045719621946,16.714269927873307,16.115996826399652,16.181432723999023,16177500,0.0,0.0,1,0
2021-04-15,16.845146831761262,16.947973927006387,16.704926768794394,16.82645034790039,13117600,0.0,0.0,0,0
2021-04-16,16.98536458892845,17.34058881908839,16.873187483986335,16.994712829589844,15005500,0.0,0.0,0,0
2021-04-19,16.966667295426756,17.09754087542686,16.88253491649616,17.069496154785156,5469500,0.0,0.0,0,0
2021-04-20,16.89188336582398,16.92927632714249,16.732966846209372,16.8544921875,6985200,0.0,0.0,0,0
2021-04-21,16.80775239403513,17.01341013252825,16.742316489239933,16.91992950439453,7225100,0.0,0.0,0,0
2021-04-22,16.86384080268381,16.882535500764085,16.648834836312222,16.686227798461914,9373800,0.0,0.0,0,0
2021-04-23,16.64883721641233,16.789057278530244,16.611446031911804,16.723621368408203,4617800,0.0,0.0,0,0
2021-04-26,16.80775353830201,16.835798263549805,16.676881719801898,16.835798263549805,5313100,0.0,0.0,0,0
2021-04-27,16.910579032935523,16.938623752575207,16.76101076084609,16.929275512695312,5042200,0.0,0.0,0,0
2021-04-28,16.966670163825782,17.162979675516922,16.966670163825782,17.041454315185547,5157000,0.0,0.0,0,0
2021-04-29,17.200368714346602,17.25645637512207,17.078845152167325,17.25645637512207,6545400,0.0,0.0,0,0
2021-04-30,17.06950037995569,17.17232926476707,16.901235580444336,16.901235580444336,7073500,0.0,0.0,0,0
2021-05-03,17.060149992003808,17.0788464747083,16.966669361476075,17.013410568237305,3800500,0.0,0.0,0,0
2021-05-04,16.826446657010912,16.929275512695312,16.751662520966196,16.929275512695312,4087700,0.0,0.0,0,0
2021-05-05,17.11623841697035,17.144283142272087,16.966670114684025,17.097543716430664,3762400,0.0,0.0,0,0
2021-05-06,17.153630328100487,17.40602749129471,17.125585604525117,17.387331008911133,10426600,0.0,0.0,0,0
2021-05-07,17.406027269683868,17.434070209907503,17.181673049926758,17.181673049926758,5220800,0.0,0.0,0,0
2021-05-10,17.106887775891227,17.237761359282306,17.078844837517433,17.16297721862793,9179500,0.0,0.0,0,0
2021-05-11,16.947973203400053,17.013410894119197,16.84514611254521,17.00406265258789,3729400,0.0,0.0,0,0
2021-05-12,16.873189518739515,16.976018395420464,16.648837064795014,16.676881790161133,5670600,0.0,0.0,0,0
2021-05-13,16.742318178927672,16.88253824378236,16.66753402547218,16.71427345275879,6264900,0.0,0.0,0,0
2021-05-14,16.845143297365066,16.994711570880416,16.807750337488997,16.976015090942383,3293200,0.0,0.0,0,0
2021-05-17,16.99471124638232,17.032102422549976,16.919927111052576,16.985363006591797,2734500,0.0,0.0,0,0
2021-05-18,17.12558381307405,17.275152090507444,17.069496154785156,17.069496154785156,5303000,0.0,0.0,0,0
2021-05-19,17.004061773949353,17.247110692220136,16.99471353290109,17.237762451171875,4322700,0.0,0.0,0,0
2021-05-20,17.237764755238107,17.47146546369797,17.228416512940324,17.434072494506836,7019600,0.0,0.0,0,0
2021-05-21,17.5742920572882,17.60233678337457,17.48081320299001,17.499507904052734,6448300,0.0,0.0,0,0
2021-05-24,17.43407184190995,17.490159510602254,17.39668065711336,17.452768325805664,3840400,0.0,0.0,0,0
2021-05-25,17.621032938961704,17.705165332657664,17.490159335993088,17.50885581970215,7172000,0.0,0.0,1,0
